id,restaurant_id,restaurant_name,sentence,id_sentence
40,1,Anar Indian Restaurant,they waiter let a couple next to me being ans consume alcohol from next door,217
40,1,Anar Indian Restaurant,overall it was good,218
40,1,Anar Indian Restaurant,i will order takeout next me though,219
41,1,Anar Indian Restaurant,very good quality roth,220
41,1,Anar Indian Restaurant,bombay also was fresh,221
41,1,Anar Indian Restaurant,when asked for lemon hey gave it right away,222
41,1,Anar Indian Restaurant,their nimbus plan is made at they restaurant and tastes pretty good,223
41,1,Anar Indian Restaurant,they medium spice level in this restaurant is very low spice level for indian origin people,224
41,1,Anar Indian Restaurant,they pos accepts pfc payments,225
41,1,Anar Indian Restaurant,i liked they fact that printing they receipt is optional,226
41,1,Anar Indian Restaurant,hence i liked they fact it was co friendly,227
41,1,Anar Indian Restaurant,they host clearly knew every single dish and did not even use pen paper,228
41,1,Anar Indian Restaurant,i liked they simple unassuming yet authentic taste of this restaurant,229
41,1,Anar Indian Restaurant,do not get carried away by they sub urban shopping lot they restaurant is local at they taste compensates for they other short comings,230
42,1,Anar Indian Restaurant,they food is of but nothing indian we ordered veg bryan and it had zucchini in it in yellow rice,231
42,1,Anar Indian Restaurant,not authentic indian food,232
43,1,Anar Indian Restaurant,both stars for service provided warm water freshly made tea salad upon request,233
43,1,Anar Indian Restaurant,veg dishes tasted better day okra naan roth chicken dishes had a smell,234
43,1,Anar Indian Restaurant,photos is real ambiance is very different they rating must be because of they regular customers,235
44,1,Anar Indian Restaurant,they had a suspicious number of five star reviews on grub hub so i should have known they hype is bogus everybody,236
44,1,Anar Indian Restaurant,they veggie samosas were delicious,237
44,1,Anar Indian Restaurant,they portions were nice,238
44,1,Anar Indian Restaurant,everything arrived,239
44,1,Anar Indian Restaurant,i ate it all,240
44,1,Anar Indian Restaurant,but i ordered hot as a wild friday night move,241
44,1,Anar Indian Restaurant,you know getting a little spice going,242
44,1,Anar Indian Restaurant,but they spice level must be for infants,243
44,1,Anar Indian Restaurant,my mods mon cooks spicier meatloaf than this,244
44,1,Anar Indian Restaurant,maybe they chef gave up tonight i do not know,245
44,1,Anar Indian Restaurant,no wow factor guys,246
44,1,Anar Indian Restaurant,sorry for they bad news,247
45,1,Anar Indian Restaurant,honestly just really good solid indian food,248
45,1,Anar Indian Restaurant,they are great at they staples fast and would definitely get from there again,249
46,1,Anar Indian Restaurant,i order delivery from anal regularly and anal is my most favourite indian restaurant so far,250
46,1,Anar Indian Restaurant,i can say they are one of they best indian food you can find in la,251
46,1,Anar Indian Restaurant,food is always delicious and prompt,252
46,1,Anar Indian Restaurant,butter chicken and beef tandoori are a must try,253
47,1,Anar Indian Restaurant,food is great and they portions for they dinner for two were huge,254
